slug,url,title,level,duration,description,project_type,tools,prerequisites,instructors,topics,updated_date,authors
2077,https://app.datacamp.com/learn/projects/2077,What is Your Heart Rate Telling You?,Intermediate,1 hr,"Heart disease is the leading cause of death in the USA. This project uses the Cleveland heart disease dataset to examine the link between maximum exercise heart rate and heart disease risk.

Use hypothesis testing and modeling to analyze the confounding effects of specific features on this relationship.",,,,"Jasmin Ludolf, COLLABORATORS",,Mar 2025,
2081,https://app.datacamp.com/learn/projects/2081,Creating Floral Patterns Inspired by Phyllotaxis,Basic,1 hr,"R is a tool for serious statistics and analysis. But not everything in life can be serious; life is also beautiful, and R can make beautiful things, too. R can make art.

Spirals rule the arrangement of leaves on a plant stem. This is called phyllotaxis, an example of how mathematics can describe natural patterns. In this project, you will create flowers using this fact.",,,,"Maarten Van den Broeck, COLLABORATORS",,Apr 2024,
2083,https://app.datacamp.com/learn/projects/2083,Generating Keywords for Search Campaigns,Basic,1 hr,"When structuring a search engine marketing account, a key task is mapping the right keywords to the right ads and making sure they send users to the right landing pages.

In this project, you'll practice how to automatically generate keywords for a search engine marketing campaign using Python to send website visitors to the right landing page.",,,,"Francesca Donadoni, COLLABORATORS",,Mar 2024,
2091,https://app.datacamp.com/learn/projects/2091,Predict Future Sales of Fast-Food Menu Items,Intermediate,1 hr,"Two fast food restaurants are having an exceptional year and over-selling their own targets for two of their main items. But recently, they have not been able to accurately predict sales, leading to overspending and rushed orders. They need your help to create a prediction model to plan their orders better.",,,,"Jasmin Ludolf, COLLABORATORS",,Sep 2025,
2104,https://app.datacamp.com/learn/projects/2104,Monitoring A Financial Fraud Detection Model,Advanced,1 hr,"Banks are where we safely store and invest money, and they depend on machine learning models to fight fraud every day. However, these models are not perfect and can sometimes fail, putting customers' money at risk.

In this project, you'll be acting as a post-deployment data scientist, helping a major UK bank. You'll be keeping an eye on how their fraud detection model has been doing over time and figuring out why it's not working as it should.",,,,"Hakim Elakhrass, Maciej Balawejder, COLLABORATORS",,Apr 2024,
2129,https://app.datacamp.com/learn/projects/2129,Compare Baseball Player Statistics using Visualizations,Intermediate,1 hr,"Major League Baseball collects the precise location and movements of its baseballs and players using a technology called Statcast. Use Statcast data to compare the home runs of two of baseball's brightest (and largest) stars, who played for the New York Yankees. The dataset used in this project is from Baseball Savant.",,,,"Jasmin Ludolf, COLLABORATORS",,Apr 2024,
2144,https://app.datacamp.com/learn/projects/2144,Building a Demand Forecasting Model,Advanced,1 hr,Predict e-commerce product demand using PySpark to answer business questions regarding supply chain efficiency.,,,,"Caroline Barbosa, COLLABORATORS",,Apr 2024,
2148,https://app.datacamp.com/learn/projects/2148,Service Desk Ticket Classification with Deep Learning,Advanced,1 hr,"Efficient handling of customer service desk tickets is crucial to ensure customer satisfaction. By leveraging deep learning, you are going to develop a robust and accurate classifier that can categorize incoming service desk tickets into predefined categories to streamline service desk operations.",,,,"Rohit Kumar Singh, COLLABORATORS",,May 2025,
2165,https://app.datacamp.com/learn/projects/2165,How Environmental Factors Influence Wildlife Populations,Advanced,1 hr,Explore how the environment affects the lives of animals using factor and survival analysis techniques and identify where conservation efforts are needed most urgently. Use psych for Factor Analysis and survminder with survival for habitat survival rates.,,,,"Dr. Chester Ismay, COLLABORATORS",,May 2025,
2169,https://app.datacamp.com/learn/projects/2169,Optimize Pricing Predictions with Feature Engineering,Intermediate,1 hr,"In this project, you will work to improve an existing car price prediction model to reduce feature input while maintaining or even improving performance.

This challenge will call for your skills in feature engineering, from variable selection to transformation.",,,,"Jorge Zazueta, COLLABORATORS",,Mar 2025,
2171,https://app.datacamp.com/learn/projects/2171,Taxi Route Optimization with Reinforcement Learning,Intermediate,1 hr,"Navigate the bustling streets of a virtual city as a taxi driver in this engaging reinforcement learning project. Utilize Q-learning to optimize your routes, ensuring passengers are efficiently picked up and dropped off. Train a reinforcement learning (RL) agent to solve the Taxi-v3 Gymnasium environment, ensuring optimal AI-driven transportation!",,,,"Fouad Trad, COLLABORATORS",,Mar 2025,
2178,https://app.datacamp.com/learn/projects/2178,Building an E-Commerce Clothing Classifier Model with Keras,Intermediate,1 hr,"Imagine revolutionizing the fashion and retail industry with cutting-edge AI: as data scientists, we have the opportunity to develop an innovative garment classification system. This project goes beyond mere categorization of clothing items; it's about creating a smarter, more efficient, and user-friendly shopping experience. Leveraging machine learning, specifically image classification, we can transform how consumers interact with fashion online, making it easier to find the perfect outfit among a vast array of choices. By joining this venture, you're not just coding algorithms; you're shaping the future of e-commerce and retail, blending technology with style, and opening up new realms of possibility in the rapidly evolving world of digital fashion.",,,,Chris Harper,,Feb 2025,
2186,https://app.datacamp.com/learn/projects/2186,Combating Subscriber Churn with Targeted Marketing,Intermediate,1 hr,"Get ready to unleash your marketing analytics skills through machine learning models. In this project, you are a machine learning specialist hired by a video streaming platform to build predictive models for subscriber churn and to uncover insightful segmentation among subscribed users.",,,COLLABORATORS,,,Apr 2024,
2190,https://app.datacamp.com/learn/projects/2190,Impact Analysis of GoodThought NGO Initiatives,Intermediate,1 hr,"Since 2010, GoodThought NGO has led transformative efforts in education, healthcare, and sustainability worldwide. Dive into a PostgreSQL database to analyze key metrics from 2010 to 2023, track donations, and assess program effectiveness. This project offers a deep dive into data, revealing the impact and outcomes of GoodThought's initiatives",,,,"Palak Raina, COLLABORATORS",,Nov 2024,
2196,https://app.datacamp.com/learn/projects/2196,Interstellar Delivery: Mastering Datetime in Python,Intermediate,1 hr,"In this project, you'll build reusable Python functions to power an intergalactic delivery startup. You'll practice formatting timestamps and breaking code into reusable parts. These functions will help estimate arrivals, calculate landing times, and update customers across the galaxy. Blast off into space and keep deliveries on time with Python!",,,,"Amina Edmunds, COLLABORATORS",,Jun 2024,
2198,https://app.datacamp.com/learn/projects/2198,Building Core Sign-Up Functions to Help Validate New Users,Basic,30 min,"In this project, you will write reusable Python functions to standardize validation checks for new user sign-ups in a mobile app. Your code will reduce invalid and incomplete sign-up attempts crashing the app. Let's get started!",,,,"Amina Edmunds, COLLABORATORS",,Apr 2024,
2205,https://app.datacamp.com/learn/projects/2205,Analyzing Customer Support Calls,Advanced,1 hr,"Prepare to embark on a journey to elevate customer service by analyzing support calls.

Your task is to transcribe customer support audio calls, evaluate customers' sentiment, and uncover common named entities and search most similar context to a query by utilizing open-source packages such as SpeachRecognition and spaCy.",,,,"Azadeh Mobasher, COLLABORATORS",,Apr 2024,
2215,https://app.datacamp.com/learn/projects/2215,Developing Multi-Input Models For OCR,Intermediate,1 hr,"Optical Character Recognition (OCR) unlocks numerous possibilities in data management.

By leveraging multi-modal modeling, paired with robust training and optimization, you'll deploy deep learning techniques to classify insurance codes from scanned insurance documents and develop an advanced OCR model.",,,,"Abhilash V J, COLLABORATORS",,May 2025,
2216,https://app.datacamp.com/learn/projects/2216,Creating Functions to Register App Users,Basic,1 hr,"You are a junior developer working on a registration system for a mobile app at a small startup. The product managers have asked you to improve the current sign-up flow by integrating reusable Python functions that validate user input entered into the form.

Your task is to integrate these validation functions to approve or reject sign-up attempts before account creation. Together, these existing validation functions and the new registration functions you will build will significantly improve the robustness and quality of the sign-up process, enhancing onboarding for thousands of app users.",,,,"Amina Edmunds, COLLABORATORS",,Mar 2025,
2221,https://app.datacamp.com/learn/projects/2221,Image Processing for Object Detection Models,Intermediate,1 hr,"Use Python to build an image-processing pipeline for an object-detection model!

Create a function to generate a dataset of images that can be used to train an animal-detection model. To prepare this dataset you will transform images of animals using various functions from the Scikit-Image package.",,,,"Claudio Paladini, COLLABORATORS",,Apr 2024,
2229,https://app.datacamp.com/learn/projects/2229,Time Series Analysis for Transportation,Advanced,1 hr,"Unlock the value of transportation time series data with a journey into scheduling analysis.

Embark on a data-driven expedition as you delve into the world of transportation time series analysis, focusing on the dynamic scheduling challenges of professional sports. From uncovering flight patterns to utilizing forecasting technologies to estimate travel costs!",,,,"Matt Dzugan, COLLABORATORS",,Apr 2024,
2234,https://app.datacamp.com/learn/projects/2234,Analyze Your Stock Portfolio for Risks and Returns,Intermediate,1 hr,"When deciding on asset allocation, you can use modern portfolio theory (MPT). MPT emphasizes that you should consider both the expected return and the associated risk (variance) when constructing portfolios.

In this project, you will find and evaluate a set of portfolios using mean-variance optimization using libraries such as PyPortfolioOpt.",,,,"Eryk Lewinson, COLLABORATORS",,Apr 2024,
2264,https://app.datacamp.com/learn/projects/2264,From Data to Dollars - Predicting Insurance Charges,Intermediate,1 hr,"Step into the role of a Data Scientist at a leading Health Insurance company, where your task is to build a model that predicts customer charges.

This project goes beyond model creation; you'll also test its effectiveness on data from new clients. It's an exciting opportunity to see data science in action in the business world. Dive in and prepare to make a significant impact!",,,,"Stan Konkin, COLLABORATORS",,Oct 2024,
2272,https://app.datacamp.com/learn/projects/2272,Facial Recognition with Supervised Learning,Intermediate,1 hr,Tackle the challenge of distinguishing images of Arnold Schwarzenegger from others using a dataset of faces and gain insights into the principles of facial recognition technology. This project guides you through building a machine learning pipeline and optimizing and evaluating models in Python and scikit-learn.,,,,"Elle Neal, COLLABORATORS",,Apr 2024,
2274,https://app.datacamp.com/learn/projects/2274,Detect Traffic Signs with Deep Learning,Advanced,1 hr,"Join this AI project aiming to improve automated driving by developing a system for detecting stop signs and traffic lights. With Keras's image recognition capabilities, you are working to refine how self-driving cars interpret and react to traffic signals, with the goal of enhancing safety and minimizing accidents.",,,,"Baixue Yao, COLLABORATORS",,Apr 2024,
2321,https://app.datacamp.com/learn/projects/2321,Exploring Experimental Design in the Energy Field,Intermediate,1 hr,"Explore the energy sector to uncover insights into CO2 emissions. Employ pandas, data visualization, and statistical analysis, focusing on fuel source and emissions. Develop your data analysis skills by identifying experimental designs, interpreting results, and revealing significant patterns in energy consumption and environmental impact.",,,,"Dr. Chester Ismay, COLLABORATORS",,Oct 2025,
2341,https://app.datacamp.com/learn/projects/2341,Tech Talent Recruiting with Regex,Basic,1 hr,"As a data analyst at a top global HR consultancy, you have the important task: to search through a vast resumes dataset and find candidates for tech jobs.

This project is not just a chance for you to apply your skills in regular expressions and data preprocessing, but it also plays a pivotal role in matching suitable candidates with the right jobs.",,,,"Stan Konkin, COLLABORATORS",,May 2024,
2355,https://app.datacamp.com/learn/projects/2355,Cleaning an Orders Dataset with PySpark,Advanced,1 hr,"Data cleaning is an essential skill for any data professional.

In this project, you will step into a role of a data engineer at an e-commerce company and use PySpark, a powerful tool for data processing, to clean an orders dataset.

This hands-on experience will sharpen your ability to format, extract and amend data for further analysis.",,,,"Rufat Mustafaev, COLLABORATORS",,Jul 2024,
2362,https://app.datacamp.com/learn/projects/2362,Organizing Medical Transcriptions with the OpenAI API,Intermediate,1 hr,"By leveraging AI, unstructured natural language can be processed into organized data. This can reduce administrative tasks for healthcare professionals, freeing more time for direct patient care.

In this project, you'll help the medical team automate the extraction and interpretation of vital information from their transcripts using the OpenAI API.",,,,"Francesca Donadoni, COLLABORATORS",,Jun 2025,
2378,https://app.datacamp.com/learn/projects/2378,Examining the History of Lego Sets,Basic,45 min,"The Rebrickable dataset includes data on every LEGO set that has ever been sold; the names of the sets, what bricks they contain, etc. It might be small bricks, but this is big data! In this project, you will use this dataset together with the pandas library to dig into the history of Lego's licensed sets, including uncovering the percentage of all licensed sets that are Star Wars themed.",,,,"Francesca Donadoni, COLLABORATORS",,May 2024,
2387,https://app.datacamp.com/learn/projects/2387,Predict Energy Consumption,Intermediate,1 hr,"Explore the dynamics of daily power consumption and uncover patterns that influence usage based on temporal factors.

As a Data Scientist, you will use regression analysis to predict future consumption and provide actionable insights for optimizing energy usage.",,,,"Deepsha Menghani, COLLABORATORS",,Nov 2024,
2393,https://app.datacamp.com/learn/projects/2393,Food Image Classification with Hugging Face,Intermediate,1 hr,"Use Hugging Face models to automatically identify and categorize food items in user-uploaded photos on a social media platform, detecting foods most likely to be in the photos. This will keep the platform's content organized and make personalized recommendations better, boosting user engagement.",,,,"Seyyed Salili, COLLABORATORS",,Apr 2025,
2406,https://app.datacamp.com/learn/projects/2406,Building a Calorie Intake Calculator,Basic,30 min,"Join a Health and Leisure company as a Software Engineer to add an exciting new feature to the app.

This project will utilize your Python skills to build a function that calculates calories and nutrition values from user input. Dive in and help customers make informed dietary choices and improve their health!",,,,"Stan Konkin, COLLABORATORS",,May 2024,
2426,https://app.datacamp.com/learn/projects/2426,Building a Retail Inventory Management System,Advanced,45 min,"Create a robust inventory management system! In this project, you will develop a comprehensive inventory management system for the retail business ShopSmart by applying your knowledge in object-oriented programming in Python. You will build a system that will track stock levels, orders, sales, and deliveries.",,,,"Ana Escobar, COLLABORATORS",,Feb 2025,
2468,https://app.datacamp.com/learn/projects/2468,Stock Trading Simulation with Gymnasium,Advanced,1 hr,Financial markets are constantly changing and many companies now leverage AI in their attempts to beat the market. Have a try at it yourself as you train a simple reinforcement learning agent in Python using Gymnasium. You will then explore the decisions that the agent made and analyze its performance. Perfect for learners interested in finance and machine learning.,,,,"Anthony Markham, COLLABORATORS",,Jul 2024,
2470,https://app.datacamp.com/learn/projects/2470,Will This Customer Purchase Your Product?,Intermediate,1 hr,"Discover how new and returning customers shop online. Using statistics and probability techniques, you will identify the differences between their browsing habits and shopping patterns. Your insights will help the marketing team understand customer engagement on the website.",,,,"Vasin Dumrongprechachan, COLLABORATORS",,Jun 2024,
2472,https://app.datacamp.com/learn/projects/2472,Reveal Categories Found in Data,Intermediate,1 hr,"App publishers want to know what users think and feel about their apps. While we can't read their minds, you can data-mine the reviews they leave to uncover the main topics!

In this project, you will use clustering and NLP techniques to sort text data from negative reviews in the Google Play Store into categories.",,,,"Román de las Heras, COLLABORATORS",,Jul 2024,
2474,https://app.datacamp.com/learn/projects/2474,Understanding Subscription Behaviors,Intermediate,1 hr,A SaaS company seeks to uncover what drives its clients to renew their subscriptions. Combine and analyze the company's data to provide insights into its customer behavior and trends.,,,,"Connor O'Brien, COLLABORATORS",,Jul 2024,
