session_name,topic,practice_url,question_number,question,option_1,option_2,option_3
"You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply.",Theory,https://app.datacamp.com/learn/practice/p/7ae1f456-fa5c-49ed-9d9e-fa49f6c2d928,1,"You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply. Agent frameworks are ideal when you need maximum control, specialized requirements, or proprietary integrations Low-code/no-code platforms suit moderate customization with common workflow patterns and quick integrations Off-the-shelf agent tools are best when a mature solution exists and you want low maintenance Low-code/no-code platforms are always the best choice for handling highly sensitive data because they require no engineering Keyboard Shortcuts List","You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply. Agent frameworks are ideal when you need maximum control, specialized requirements, or proprietary integrations Low-code/no-code platforms suit moderate customization with common workflow patterns and quick integrations Off-the-shelf agent tools are best when a mature solution exists and you want low maintenance Low-code/no-code platforms are always the best choice for handling highly sensitive data because they require no engineering Keyboard Shortcuts List",,
"You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply.",Theory,https://app.datacamp.com/learn/practice/p/7ae1f456-fa5c-49ed-9d9e-fa49f6c2d928,2,"You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply. Agent frameworks are ideal when you need maximum control, specialized requirements, or proprietary integrations Low-code/no-code platforms suit moderate customization with common workflow patterns and quick integrations Off-the-shelf agent tools are best when a mature solution exists and you want low maintenance Low-code/no-code platforms are always the best choice for handling highly sensitive data because they require no engineering Keyboard Shortcuts List","You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply. Agent frameworks are ideal when you need maximum control, specialized requirements, or proprietary integrations Low-code/no-code platforms suit moderate customization with common workflow patterns and quick integrations Off-the-shelf agent tools are best when a mature solution exists and you want low maintenance Low-code/no-code platforms are always the best choice for handling highly sensitive data because they require no engineering Keyboard Shortcuts List",,
"You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply.",Theory,https://app.datacamp.com/learn/practice/p/7ae1f456-fa5c-49ed-9d9e-fa49f6c2d928,3,"You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply. Agent frameworks are ideal when you need maximum control, specialized requirements, or proprietary integrations Low-code/no-code platforms suit moderate customization with common workflow patterns and quick integrations Off-the-shelf agent tools are best when a mature solution exists and you want low maintenance Low-code/no-code platforms are always the best choice for handling highly sensitive data because they require no engineering Keyboard Shortcuts List","You’re choosing among agent tooling options. Which statements correctly distinguish off-the-shelf tools, low-code/no-code platforms, and agent frameworks? Select all that apply. Agent frameworks are ideal when you need maximum control, specialized requirements, or proprietary integrations Low-code/no-code platforms suit moderate customization with common workflow patterns and quick integrations Off-the-shelf agent tools are best when a mature solution exists and you want low maintenance Low-code/no-code platforms are always the best choice for handling highly sensitive data because they require no engineering Keyboard Shortcuts List",,
Report an issue,Theory,https://practice.datacamp.com/p/738,1,Let's Practice Introduction to Data Literacy Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Data Literacy Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Data Literacy,Theory,https://practice.datacamp.com/p/738,2,How does data literacy improve decision-making?,Provides deeper understanding of data and its implications,Simplifying the creation of data visualizations,Increases reliance on data collection processes
Introduction to Data Literacy,Theory,https://practice.datacamp.com/p/738,3,How does data literacy improve decision-making?,Provides deeper understanding of data and its implications,Simplifying the creation of data visualizations,Increases reliance on data collection processes
Fill in the blank:,ChatGPT,https://app.datacamp.com/learn/practice/p/25439fd7-9961-4d26-b03f-ffa83781245c,1,"Fill in the blank: A response that is accurate, relevant, and factually correct but contradicts itself is missing ?",logical consistency length punctuation creativity Clear Keyboard Shortcuts List,,
Fill in the blank:,ChatGPT,https://app.datacamp.com/learn/practice/p/25439fd7-9961-4d26-b03f-ffa83781245c,2,"Fill in the blank: A response that is accurate, relevant, and factually correct but contradicts itself is missing ?",logical consistency length punctuation creativity Clear Keyboard Shortcuts List,,
Fill in the blank:,ChatGPT,https://app.datacamp.com/learn/practice/p/25439fd7-9961-4d26-b03f-ffa83781245c,3,"Fill in the blank: A response that is accurate, relevant, and factually correct but contradicts itself is missing ?",logical consistency length punctuation creativity Clear Keyboard Shortcuts List,,
Why might you include an assistant message in your request to the API?,OpenAI,https://app.datacamp.com/learn/practice/p/4fb6aa3a-819e-4ba2-91eb-8ba2e8e11cd4,1,Why might you include an assistant message in your request to the API?,To provide an example of a desired response To set the assistant's behavior To authenticate the API request To store user preferences Keyboard Shortcuts List,,
Why might you include an assistant message in your request to the API?,OpenAI,https://app.datacamp.com/learn/practice/p/4fb6aa3a-819e-4ba2-91eb-8ba2e8e11cd4,2,Why might you include an assistant message in your request to the API?,To provide an example of a desired response To set the assistant's behavior To authenticate the API request To store user preferences Keyboard Shortcuts List,,
Why might you include an assistant message in your request to the API?,OpenAI,https://app.datacamp.com/learn/practice/p/4fb6aa3a-819e-4ba2-91eb-8ba2e8e11cd4,3,Why might you include an assistant message in your request to the API?,To provide an example of a desired response To set the assistant's behavior To authenticate the API request To store user preferences Keyboard Shortcuts List,,
Report an issue,Theory,https://practice.datacamp.com/p/683,1,Let's Practice AI Ethics Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice AI Ethics Get 5 Challenges Correct No Time Limits Earn XP,,
AI Ethics,Theory,https://practice.datacamp.com/p/683,2,"Which technique is commonly used to add explainability to AI models and acts like a translator, simplifying the model’s decision-making process?",Deep Learning Visualization,Local Interpretable Model-agnostic Explanations (LIME),Neural Network Analysis
AI Ethics,Theory,https://practice.datacamp.com/p/683,3,"Which technique is commonly used to add explainability to AI models and acts like a translator, simplifying the model’s decision-making process?",Deep Learning Visualization,Local Interpretable Model-agnostic Explanations (LIME),Neural Network Analysis
Report an issue,Python,https://practice.datacamp.com/p/5,1,Let's Practice Intermediate Python Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Intermediate Python Get 5 Challenges Correct No Time Limits Earn XP,,
Intermediate Python,Python,https://practice.datacamp.com/p/5,2,What is a histogram used for?,To explore your data and track changes over long periods of time.,To explore your data and see correlation between two variables.,To explore your data and get an idea about distribution.
Intermediate Python,Python,https://practice.datacamp.com/p/5,3,What is a histogram used for?,To explore your data and track changes over long periods of time.,To explore your data and see correlation between two variables.,To explore your data and get an idea about distribution.
Report an issue,R,https://practice.datacamp.com/p/2,1,Let's Practice Introduction to R Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to R Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to R,R,https://practice.datacamp.com/p/2,2,Which one of these is true for + operator?,It adds boolean and string values.,It works with numeric and character variables.,It works with numeric variables.
Introduction to R,R,https://practice.datacamp.com/p/2,3,Which one of these is true for + operator?,It adds boolean and string values.,It works with numeric and character variables.,It works with numeric variables.
Report an issue,Theory,https://practice.datacamp.com/p/708,1,Let's Practice Understanding Data Science Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Understanding Data Science Get 5 Challenges Correct No Time Limits Earn XP,,
Understanding Data Science,Theory,https://practice.datacamp.com/p/708,2,Which experiment step allows us to determine if an observed difference in click-through rate between two tested versions of a website is meaningful?,perform test of statistical significance,calculate the sample size,identify metric to track
Understanding Data Science,Theory,https://practice.datacamp.com/p/708,3,Which experiment step allows us to determine if an observed difference in click-through rate between two tested versions of a website is meaningful?,perform test of statistical significance,calculate the sample size,identify metric to track
Report an issue,SQL,https://practice.datacamp.com/p/588,1,Let's Practice Intermediate SQL Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Intermediate SQL Get 5 Challenges Correct No Time Limits Earn XP,,
Intermediate SQL,SQL,https://practice.datacamp.com/p/588,2,Which line is executed first in the SQL Query?,"SELECT title, release_year FROM films LIMIT 2;",FROM films,"SELECT title, release_year"
Intermediate SQL,SQL,https://practice.datacamp.com/p/588,3,Which line is executed first in the SQL Query?,"SELECT title, release_year FROM films LIMIT 2;",FROM films,"SELECT title, release_year"
Report an issue,Excel,https://practice.datacamp.com/p/684,1,Let's Practice Introduction to Excel Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Excel Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Excel,Excel,https://practice.datacamp.com/p/684,2,"Among the following options, which one is NOT a formatting option available in conditional formatting?",Icon Sets,Color Scales,Data Bars
Introduction to Excel,Excel,https://practice.datacamp.com/p/684,3,"Among the following options, which one is NOT a formatting option available in conditional formatting?",Icon Sets,Color Scales,Data Bars
Report an issue,Python,https://practice.datacamp.com/p/782,1,Let's Practice Introduction to Python for Developers Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Python for Developers Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Python for Developers,Python,https://practice.datacamp.com/p/782,2,Which of the following statements about the Python language is correct?,The Python language can only be used for web development,The Python language does not support object-oriented programming,The Python language is an interpreted language
Introduction to Python for Developers,Python,https://practice.datacamp.com/p/782,3,Which of the following statements about the Python language is correct?,The Python language can only be used for web development,The Python language does not support object-oriented programming,The Python language is an interpreted language
Report an issue,Theory,https://practice.datacamp.com/p/682,1,Let's Practice Understanding Artificial Intelligence Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Understanding Artificial Intelligence Get 5 Challenges Correct No Time Limits Earn XP,,
Understanding Artificial Intelligence,Theory,https://practice.datacamp.com/p/682,2,How do computer vision systems typically acquire data?,By understanding human emotions,By acquiring visual stimuli,By analyzing text data
Understanding Artificial Intelligence,Theory,https://practice.datacamp.com/p/682,3,How do computer vision systems typically acquire data?,By understanding human emotions,By acquiring visual stimuli,By analyzing text data
Report an issue,Python,https://practice.datacamp.com/p/597,1,Let's Practice Supervised Learning with scikit-learn Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Supervised Learning with scikit-learn Get 5 Challenges Correct No Time Limits Earn XP,,
Supervised Learning with scikit-learn,Python,https://practice.datacamp.com/p/597,2,"Calculate the test set R-squared value of the fitted linear regression model, linreg . Complete the code to return the output print(linreg. ?",)) 0.7779027905840653 Fill in the blanks X_test,X_train,mean_squared_error
Supervised Learning with scikit-learn,Python,https://practice.datacamp.com/p/597,3,"Calculate the test set R-squared value of the fitted linear regression model, linreg . Complete the code to return the output print(linreg. ?",)) 0.7779027905840653 Fill in the blanks X_test,X_train,mean_squared_error
Report an issue,Theory,https://practice.datacamp.com/p/744,1,Let's Practice Understanding Cloud Computing Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Understanding Cloud Computing Get 5 Challenges Correct No Time Limits Earn XP,,
Understanding Cloud Computing,Theory,https://practice.datacamp.com/p/744,2,What is a key benefit of cloud computing compared to traditional on-premises systems?,Eliminates the need for any type of data backup,Provides users with physical copies of all their data for security,Offers on-demand scalability without large upfront costs
Understanding Cloud Computing,Theory,https://practice.datacamp.com/p/744,3,What is a key benefit of cloud computing compared to traditional on-premises systems?,Eliminates the need for any type of data backup,Provides users with physical copies of all their data for security,Offers on-demand scalability without large upfront costs
Report an issue,Theory,https://practice.datacamp.com/p/737,1,Let's Practice Introduction to Data Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Data Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Data,Theory,https://practice.datacamp.com/p/737,2,What is the primary difference between quantitative and qualitative data?,"Qualitative data is always unstructured, while quantitative data is structured","Quantitative data is textual, while qualitative data is numerical",Quantitative data is more accurate than qualitative data
Introduction to Data,Theory,https://practice.datacamp.com/p/737,3,What is the primary difference between quantitative and qualitative data?,"Qualitative data is always unstructured, while quantitative data is structured","Quantitative data is textual, while qualitative data is numerical",Quantitative data is more accurate than qualitative data
Report an issue,Theory,https://practice.datacamp.com/p/705,1,Let's Practice Understanding Data Engineering Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Understanding Data Engineering Get 5 Challenges Correct No Time Limits Earn XP,,
Understanding Data Engineering,Theory,https://practice.datacamp.com/p/705,2,"An online book publisher provides a platform for authors to publish books by the support of their readers. Recently, this publisher made their platform available worldwide, and they want to better understand the authors' and readers' behaviors. How can a data engineer assist this book publisher?",Scale the data transformation pipelines to handle the recent change.,Build solution for authors to understand their readers based on data.,Identify what makes book more successful in different regions.
Understanding Data Engineering,Theory,https://practice.datacamp.com/p/705,3,"An online book publisher provides a platform for authors to publish books by the support of their readers. Recently, this publisher made their platform available worldwide, and they want to better understand the authors' and readers' behaviors. How can a data engineer assist this book publisher?",Scale the data transformation pipelines to handle the recent change.,Build solution for authors to understand their readers based on data.,Identify what makes book more successful in different regions.
Report an issue,ChatGPT,https://practice.datacamp.com/p/711,1,Let's Practice Introduction to ChatGPT Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to ChatGPT Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to ChatGPT,ChatGPT,https://practice.datacamp.com/p/711,2,A user asked ChatGPT about restaurants nearby. ChatGPT suggested multiple restaurants that did not exist. What is this phenomenon known as?,Hallucination,Knowledge cut-off,Training
Introduction to ChatGPT,ChatGPT,https://practice.datacamp.com/p/711,3,A user asked ChatGPT about restaurants nearby. ChatGPT suggested multiple restaurants that did not exist. What is this phenomenon known as?,Hallucination,Knowledge cut-off,Training
Report an issue,Theory,https://practice.datacamp.com/p/739,1,Let's Practice Generative AI Concepts Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Generative AI Concepts Get 5 Challenges Correct No Time Limits Earn XP,,
Generative AI Concepts,Theory,https://practice.datacamp.com/p/739,2,What can lead a generative AI model to result in biased outcomes?,Training the model without biased human intervention.,Asking the model to generate biased output.,Training with unbalanced and datasets that include biases.
Generative AI Concepts,Theory,https://practice.datacamp.com/p/739,3,What can lead a generative AI model to result in biased outcomes?,Training the model without biased human intervention.,Asking the model to generate biased output.,Training with unbalanced and datasets that include biases.
Report an issue,SQL,https://practice.datacamp.com/p/587,1,Let's Practice Joining Data in SQL Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Joining Data in SQL Get 5 Challenges Correct No Time Limits Earn XP,,
Joining Data in SQL,SQL,https://practice.datacamp.com/p/587,2,A query to add country names from the countries table to the cities table has been started. A sample of each table is shown; the full tables contain more records. --countries (sample) id    name 1    India 2    South Africa 5    Netherlands --cities (sample) id    name        country_id 1    Bangalore   1 2    Chandigarh  1 3    Durban      2 Complete the code to return the output SELECT ?,FROM cities AS c1 INNER JOIN countries AS c2 ON c1. = c2. LIMIT 3; id,name Bangalore Chandigarh Durban country_id,name India India South Africa Fill in the blanks c1.*
Joining Data in SQL,SQL,https://practice.datacamp.com/p/587,3,A query to add country names from the countries table to the cities table has been started. A sample of each table is shown; the full tables contain more records. --countries (sample) id    name 1    India 2    South Africa 5    Netherlands --cities (sample) id    name        country_id 1    Bangalore   1 2    Chandigarh  1 3    Durban      2 Complete the code to return the output SELECT ?,FROM cities AS c1 INNER JOIN countries AS c2 ON c1. = c2. LIMIT 3; id,name Bangalore Chandigarh Durban country_id,name India India South Africa Fill in the blanks c1.*
Report an issue,Theory,https://practice.datacamp.com/p/718,1,Let's Practice Understanding Machine Learning Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Understanding Machine Learning Get 5 Challenges Correct No Time Limits Earn XP,,
Understanding Machine Learning,Theory,https://practice.datacamp.com/p/718,2,Which statement correctly describes an attribute of Deep Learning?,Builds model of complex patterns across network of neurons.,Only creates networks with one or two levels to learn patterns.,Modeled patterns can be easily interpreted and explained.
Understanding Machine Learning,Theory,https://practice.datacamp.com/p/718,3,Which statement correctly describes an attribute of Deep Learning?,Builds model of complex patterns across network of neurons.,Only creates networks with one or two levels to learn patterns.,Modeled patterns can be easily interpreted and explained.
You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply.,Git,https://app.datacamp.com/learn/practice/p/79520888-9b3b-4ceb-a0b1-9d5964970a41,1,You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply. git diff HEAD HEAD~1 -- report.md git diff HEAD~1 HEAD -- report.md git diff --staged HEAD~1 HEAD -- report.md git diff HEAD~1..HEAD -- report.md Keyboard Shortcuts List,You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply. git diff HEAD HEAD~1 -- report.md git diff HEAD~1 HEAD -- report.md git diff --staged HEAD~1 HEAD -- report.md git diff HEAD~1..HEAD -- report.md Keyboard Shortcuts List,,
You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply.,Git,https://app.datacamp.com/learn/practice/p/79520888-9b3b-4ceb-a0b1-9d5964970a41,2,You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply. git diff HEAD HEAD~1 -- report.md git diff HEAD~1 HEAD -- report.md git diff --staged HEAD~1 HEAD -- report.md git diff HEAD~1..HEAD -- report.md Keyboard Shortcuts List,You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply. git diff HEAD HEAD~1 -- report.md git diff HEAD~1 HEAD -- report.md git diff --staged HEAD~1 HEAD -- report.md git diff HEAD~1..HEAD -- report.md Keyboard Shortcuts List,,
You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply.,Git,https://app.datacamp.com/learn/practice/p/79520888-9b3b-4ceb-a0b1-9d5964970a41,3,You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply. git diff HEAD HEAD~1 -- report.md git diff HEAD~1 HEAD -- report.md git diff --staged HEAD~1 HEAD -- report.md git diff HEAD~1..HEAD -- report.md Keyboard Shortcuts List,You want to compare two commits of report.md: the current HEAD commit and the commit immediately before it. Which git diff commands correctly compare those two commits (in either order)? Select all that apply. git diff HEAD HEAD~1 -- report.md git diff HEAD~1 HEAD -- report.md git diff --staged HEAD~1 HEAD -- report.md git diff HEAD~1..HEAD -- report.md Keyboard Shortcuts List,,
Report an issue,Excel,https://practice.datacamp.com/p/736,1,Let's Practice Data Analysis in Excel Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Data Analysis in Excel Get 5 Challenges Correct No Time Limits Earn XP,,
Data Analysis in Excel,Excel,https://practice.datacamp.com/p/736,2,What is the key distinction between AVERAGEIF and AVERAGEIFS in Excel?,"AVERAGEIF is used in PivotTables, while AVERAGEIFS is not","AVERAGEIF is for single condition, while AVERAGEIFS allows for multiple conditions","AVERAGEIF works with numerical data, while AVERAGEIFS works with text data"
Data Analysis in Excel,Excel,https://practice.datacamp.com/p/736,3,What is the key distinction between AVERAGEIF and AVERAGEIFS in Excel?,"AVERAGEIF is used in PivotTables, while AVERAGEIFS is not","AVERAGEIF is for single condition, while AVERAGEIFS allows for multiple conditions","AVERAGEIF works with numerical data, while AVERAGEIFS works with text data"
Report an issue,SQL,https://practice.datacamp.com/p/36,1,Let's Practice Data Manipulation in SQL Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Data Manipulation in SQL Get 5 Challenges Correct No Time Limits Earn XP,,
Data Manipulation in SQL,SQL,https://practice.datacamp.com/p/36,2,Can you use a window function to add a column to this table containing the total number of bicycle docks over all stations?,"Here's preview of the station table: name       docks San Jose D     27 San Jose C     15 Santa Clar     11 Complete the code to return the output SELECT name, docks, FROM stations LIMIT 3; Try Code 3 attempts left Required Output name San Jose D San Jose C Santa Clar docks",total_docks,
Data Manipulation in SQL,SQL,https://practice.datacamp.com/p/36,3,Can you use a window function to add a column to this table containing the total number of bicycle docks over all stations?,"Here's preview of the station table: name       docks San Jose D     27 San Jose C     15 Santa Clar     11 Complete the code to return the output SELECT name, docks, FROM stations LIMIT 3; Try Code 3 attempts left Required Output name San Jose D San Jose C Santa Clar docks",total_docks,
Report an issue,Theory,https://practice.datacamp.com/p/759,1,Let's Practice Large Language Models (LLMs) Concepts Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Large Language Models (LLMs) Concepts Get 5 Challenges Correct No Time Limits Earn XP,,
Large Language Models (LLMs) Concepts,Theory,https://practice.datacamp.com/p/759,2,What ethical concern arises if an LLM lacks transparency in its outputs?,"It could result in decreased accountability, as it's unclear who is responsible for errors",It can lead to biased or discriminatory outcomes without users understanding the cause,It might make the model more expensive to run and maintain over time
Large Language Models (LLMs) Concepts,Theory,https://practice.datacamp.com/p/759,3,What ethical concern arises if an LLM lacks transparency in its outputs?,"It could result in decreased accountability, as it's unclear who is responsible for errors",It can lead to biased or discriminatory outcomes without users understanding the cause,It might make the model more expensive to run and maintain over time
Report an issue,Python,https://practice.datacamp.com/p/513,1,Let's Practice Data Manipulation with pandas Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Data Manipulation with pandas Get 5 Challenges Correct No Time Limits Earn XP,,
Data Manipulation with pandas,Python,https://practice.datacamp.com/p/513,2,"When looking at the number of rows and columns of a dataset, why is .shape used instead of .shape() ?",Because .shape is method.,Because .shape is an attribute.,Because .shape is function.
Data Manipulation with pandas,Python,https://practice.datacamp.com/p/513,3,"When looking at the number of rows and columns of a dataset, why is .shape used instead of .shape() ?",Because .shape is method.,Because .shape is an attribute.,Because .shape is function.
Report an issue,Theory,https://practice.datacamp.com/p/681,1,Let's Practice Communicating Data Insights Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Communicating Data Insights Get 5 Challenges Correct No Time Limits Earn XP,,
Communicating Data Insights,Theory,https://practice.datacamp.com/p/681,2,"In the context of communication, what are the key components of visual communication?","Facial expressions, posture, and gestures",Spoken words and dialog,Written documents and reports
Communicating Data Insights,Theory,https://practice.datacamp.com/p/681,3,"In the context of communication, what are the key components of visual communication?","Facial expressions, posture, and gestures",Spoken words and dialog,Written documents and reports
Report an issue,Power BI,https://practice.datacamp.com/p/755,1,Let's Practice Data Visualization in Power BI Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Data Visualization in Power BI Get 5 Challenges Correct No Time Limits Earn XP,,
Data Visualization in Power BI,Power BI,https://practice.datacamp.com/p/755,2,What is a primary use of scatter charts?,To display hierarchical data.,Investigate correlations between variables selected.,Showing change in measure value over time.
Data Visualization in Power BI,Power BI,https://practice.datacamp.com/p/755,3,What is a primary use of scatter charts?,To display hierarchical data.,Investigate correlations between variables selected.,Showing change in measure value over time.
Report an issue,Power BI,https://practice.datacamp.com/p/611,1,Let's Practice Introduction to DAX in Power BI Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to DAX in Power BI Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to DAX in Power BI,Power BI,https://practice.datacamp.com/p/611,2,Which of the following is NOT a benefit of variables in DAX?,Improves readability,Easy to learn,Simplifies debugging
Introduction to DAX in Power BI,Power BI,https://practice.datacamp.com/p/611,3,Which of the following is NOT a benefit of variables in DAX?,Improves readability,Easy to learn,Simplifies debugging
Report an issue,Theory,https://practice.datacamp.com/p/758,1,Let's Practice Introduction to Statistics Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Statistics Get 5 Challenges Correct No Time Limits Earn XP,,
