slug,url,title,level,duration,description,project_type,tools,prerequisites,instructors,topics,updated_date,authors
2077,https://app.datacamp.com/learn/projects/2077,What is Your Heart Rate Telling You?,Intermediate,1 hr,"Heart disease is the leading cause of death in the USA. This project uses the Cleveland heart disease dataset to examine the link between maximum exercise heart rate and heart disease risk.

Use hypothesis testing and modeling to analyze the confounding effects of specific features on this relationship.",,,,"Jasmin Ludolf, COLLABORATORS",,Mar 2025,
2081,https://app.datacamp.com/learn/projects/2081,Creating Floral Patterns Inspired by Phyllotaxis,Basic,1 hr,"R is a tool for serious statistics and analysis. But not everything in life can be serious; life is also beautiful, and R can make beautiful things, too. R can make art.

Spirals rule the arrangement of leaves on a plant stem. This is called phyllotaxis, an example of how mathematics can describe natural patterns. In this project, you will create flowers using this fact.",,,,"Maarten Van den Broeck, COLLABORATORS",,Apr 2024,
2083,https://app.datacamp.com/learn/projects/2083,Generating Keywords for Search Campaigns,Basic,1 hr,"When structuring a search engine marketing account, a key task is mapping the right keywords to the right ads and making sure they send users to the right landing pages.

In this project, you'll practice how to automatically generate keywords for a search engine marketing campaign using Python to send website visitors to the right landing page.",,,,"Francesca Donadoni, COLLABORATORS",,Mar 2024,
2091,https://app.datacamp.com/learn/projects/2091,Predict Future Sales of Fast-Food Menu Items,Intermediate,1 hr,"Two fast food restaurants are having an exceptional year and over-selling their own targets for two of their main items. But recently, they have not been able to accurately predict sales, leading to overspending and rushed orders. They need your help to create a prediction model to plan their orders better.",,,,"Jasmin Ludolf, COLLABORATORS",,Sep 2025,
2104,https://app.datacamp.com/learn/projects/2104,Monitoring A Financial Fraud Detection Model,Advanced,1 hr,"Banks are where we safely store and invest money, and they depend on machine learning models to fight fraud every day. However, these models are not perfect and can sometimes fail, putting customers' money at risk.

In this project, you'll be acting as a post-deployment data scientist, helping a major UK bank. You'll be keeping an eye on how their fraud detection model has been doing over time and figuring out why it's not working as it should.",,,,"Hakim Elakhrass, Maciej Balawejder, COLLABORATORS",,Apr 2024,
2129,https://app.datacamp.com/learn/projects/2129,Compare Baseball Player Statistics using Visualizations,Intermediate,1 hr,"Major League Baseball collects the precise location and movements of its baseballs and players using a technology called Statcast. Use Statcast data to compare the home runs of two of baseball's brightest (and largest) stars, who played for the New York Yankees. The dataset used in this project is from Baseball Savant.",,,,"Jasmin Ludolf, COLLABORATORS",,Apr 2024,
2144,https://app.datacamp.com/learn/projects/2144,Building a Demand Forecasting Model,Advanced,1 hr,Predict e-commerce product demand using PySpark to answer business questions regarding supply chain efficiency.,,,,"Caroline Barbosa, COLLABORATORS",,Apr 2024,
2148,https://app.datacamp.com/learn/projects/2148,Service Desk Ticket Classification with Deep Learning,Advanced,1 hr,"Efficient handling of customer service desk tickets is crucial to ensure customer satisfaction. By leveraging deep learning, you are going to develop a robust and accurate classifier that can categorize incoming service desk tickets into predefined categories to streamline service desk operations.",,,,"Rohit Kumar Singh, COLLABORATORS",,May 2025,
2165,https://app.datacamp.com/learn/projects/2165,How Environmental Factors Influence Wildlife Populations,Advanced,1 hr,Explore how the environment affects the lives of animals using factor and survival analysis techniques and identify where conservation efforts are needed most urgently. Use psych for Factor Analysis and survminder with survival for habitat survival rates.,,,,"Dr. Chester Ismay, COLLABORATORS",,May 2025,
2169,https://app.datacamp.com/learn/projects/2169,Optimize Pricing Predictions with Feature Engineering,Intermediate,1 hr,"In this project, you will work to improve an existing car price prediction model to reduce feature input while maintaining or even improving performance.

This challenge will call for your skills in feature engineering, from variable selection to transformation.",,,,"Jorge Zazueta, COLLABORATORS",,Mar 2025,
2171,https://app.datacamp.com/learn/projects/2171,Taxi Route Optimization with Reinforcement Learning,Intermediate,1 hr,"Navigate the bustling streets of a virtual city as a taxi driver in this engaging reinforcement learning project. Utilize Q-learning to optimize your routes, ensuring passengers are efficiently picked up and dropped off. Train a reinforcement learning (RL) agent to solve the Taxi-v3 Gymnasium environment, ensuring optimal AI-driven transportation!",,,,"Fouad Trad, COLLABORATORS",,Mar 2025,
2178,https://app.datacamp.com/learn/projects/2178,Building an E-Commerce Clothing Classifier Model with Keras,Intermediate,1 hr,"Imagine revolutionizing the fashion and retail industry with cutting-edge AI: as data scientists, we have the opportunity to develop an innovative garment classification system. This project goes beyond mere categorization of clothing items; it's about creating a smarter, more efficient, and user-friendly shopping experience. Leveraging machine learning, specifically image classification, we can transform how consumers interact with fashion online, making it easier to find the perfect outfit among a vast array of choices. By joining this venture, you're not just coding algorithms; you're shaping the future of e-commerce and retail, blending technology with style, and opening up new realms of possibility in the rapidly evolving world of digital fashion.",,,,Chris Harper,,Feb 2025,
2186,https://app.datacamp.com/learn/projects/2186,Combating Subscriber Churn with Targeted Marketing,Intermediate,1 hr,"Get ready to unleash your marketing analytics skills through machine learning models. In this project, you are a machine learning specialist hired by a video streaming platform to build predictive models for subscriber churn and to uncover insightful segmentation among subscribed users.",,,COLLABORATORS,,,Apr 2024,
2190,https://app.datacamp.com/learn/projects/2190,Impact Analysis of GoodThought NGO Initiatives,Intermediate,1 hr,"Since 2010, GoodThought NGO has led transformative efforts in education, healthcare, and sustainability worldwide. Dive into a PostgreSQL database to analyze key metrics from 2010 to 2023, track donations, and assess program effectiveness. This project offers a deep dive into data, revealing the impact and outcomes of GoodThought's initiatives",,,,"Palak Raina, COLLABORATORS",,Nov 2024,
2196,https://app.datacamp.com/learn/projects/2196,Interstellar Delivery: Mastering Datetime in Python,Intermediate,1 hr,"In this project, you'll build reusable Python functions to power an intergalactic delivery startup. You'll practice formatting timestamps and breaking code into reusable parts. These functions will help estimate arrivals, calculate landing times, and update customers across the galaxy. Blast off into space and keep deliveries on time with Python!",,,,"Amina Edmunds, COLLABORATORS",,Jun 2024,
